Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Rubik Configuration (product.metafields.craftshift.rubik_configuration),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Características de la ropa deportiva (product.metafields.shopify.activewear-clothing-features),Actividad (product.metafields.shopify.activity),Grupo de edad (product.metafields.shopify.age-group),Características de la ropa (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Tejido (product.metafields.shopify.fabric),Encaje (product.metafields.shopify.fit),Cuello (product.metafields.shopify.neckline),Tipo de largo de los pantalones (product.metafields.shopify.pants-length-type),Talla (product.metafields.shopify.size),Tipo de longitud de la manga (product.metafields.shopify.sleeve-length-type),Sexo objetivo (product.metafields.shopify.target-gender),Tipo de largo del top (product.metafields.shopify.top-length-type),Altura de cintura (product.metafields.shopify.waist-rise),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
camiseta-tirante-two-cayennes-mujer,CAMISETA TIRANTE TWO CAYENNES MUJER,"<p>Camiseta tirante femenina Two Cayennes, diseño premium con estampados en frente y espalda. En el pecho, logo F3 acompañado de Flex Form Fitness en tipografía distintiva y dos cayenas de colores contrastantes. En la espalda, dos cayenas adicionales con el logo F3 integrado bajo ellas, coronadas por el lema ""There is strength in flexibility"". Prenda versátil que combina estilo moderno con mensaje inspirador, perfecta para entrenamientos y uso casual.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/1042/6626/9009/files/Medidas_camiseta_tirante_mujer.png?v=1779367718"" alt=""""></p>",Flex Form Fitness,Ropa y accesorios > Prendas de vestir > Ropa deportiva > Tops deportivos > Camisetas de manga corta,"","",true,Color,negro,product.metafields.shopify.color-pattern,Talla,xs,product.metafields.shopify.size,,,,,0.0,shopify,2,deny,manual,29.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04200.jpg?v=1779283191,1,"",false,,,,,,,,,,,,,,,,,universal-3,adultos,,negro,algodon,,redondo-2,,xs; s; m,sin-mangas-4,femenino-6,largo,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04200.jpg?v=1779283191,kg,,,active
camiseta-tirante-two-cayennes-mujer,,,,,,,,,negro,,,s,,,,,,0.0,shopify,4,deny,manual,29.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04222.jpg?v=1779283192,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04200.jpg?v=1779283191,kg,,,
camiseta-tirante-two-cayennes-mujer,,,,,,,,,negro,,,m,,,,,,0.0,shopify,3,deny,manual,29.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04203.jpg?v=1779283192,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04200.jpg?v=1779283191,kg,,,
camiseta-oversize-cropped-build-under-pressure-mujer,CAMISETA OVERSIZE CROPPED BUILD UNDER PRESSURE MUJER,"<p>Camiseta cropped oversize. Built Under Pressure lleva el logo grande de F3 en el pecho, mientras que el hombro derecho se apodera el monumental logo de Flex Form. En la espalda, ""Built under construction"" se despliega en vertical con efecto destroyed, diciendonos que los diamantes no se forjan en la comodidad: se crean bajo presión, bajo tensión, bajo las condiciones extremas.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/1042/6626/9009/files/Medidas_camiseta_cropped_oversize_mujer.png?v=1779367718"" alt=""""></p>",Flex Form Fitness,Ropa y accesorios > Prendas de vestir > Prendas de ropa superiores > Camisetas de manga corta,"","",true,Color,negro,product.metafields.shopify.color-pattern,Talla,xs,product.metafields.shopify.size,,,,,0.0,shopify,1,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC03675.jpg?v=1779282449,1,"",false,,,,,,,,,,,,,,,,,,adultos,,negro,algodon,,redondo-2; cuello-redondo,,xs; s; m,corto,femenino-6,top-corto,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC03675.jpg?v=1779282449,kg,,,active
camiseta-oversize-cropped-build-under-pressure-mujer,,,,,,,,,negro,,,s,,,,,,0.0,shopify,4,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC03682.jpg?v=1779282449,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC03675.jpg?v=1779282449,kg,,,
camiseta-oversize-cropped-build-under-pressure-mujer,,,,,,,,,negro,,,m,,,,,,0.0,shopify,0,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC03665.jpg?v=1779282449,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC03675.jpg?v=1779282449,kg,,,
camisetamujer5,CAMISETA F3 HEART MUJER,"<p>Camiseta femenina F3 Heart confeccionada en 210 g/m² con una composición innovadora: 70% algodón y 30% Poliéster Fibra Sorona®, un material de origen vegetal que combina comodidad y sostenibilidad. Diseño exclusivo con el logo F3 estampado en grande en la parte delantera, acompañado del texto ""Flex Form Fitness"" en letra cursiva elegante. En la espalda, un detalle distintivo: un corazón vertical en el cuello que alberga el logo F3 en su interior. Prenda versátil y cómoda, perfecta para entrenamientos, uso casual o como parte de tu colección de ropa deportiva. La mezcla de fibras naturales y sintéticas garantiza durabilidad, transpirabilidad y un ajuste que se adapta a tu movimiento.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/1042/6626/9009/files/Medidas_camiseta_sorona_mujer.png?v=1779367718"" alt=""""></p>",Flex Form Fitness,Ropa y accesorios > Prendas de vestir > Prendas de ropa superiores > Camisetas de manga corta,"","",true,Color,negro,product.metafields.shopify.color-pattern,Talla,xs,product.metafields.shopify.size,,,,,0.0,shopify,0,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC02473.jpg?v=1778109566,1,"",false,,,,,,,,,,,,,,,,,,adultos,,negro; gris,algodon; sorona,,cuello-redondo,,xs; s; m,corto,femenino-1,medio; largo; top-corto,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01799.jpg?v=1778109501,kg,,,active
camisetamujer5,,,,,,,,,negro,,,s,,,,,,0.0,shopify,4,deny,manual,28.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01765.jpg?v=1778109494,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01799.jpg?v=1778109501,kg,,,
camisetamujer5,,,,,,,,,negro,,,m,,,,,,0.0,shopify,4,deny,manual,28.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01795.jpg?v=1778109497,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01799.jpg?v=1778109501,kg,,,
camisetamujer5,,,,,,,,,gris,,,xs,,,,,,0.0,shopify,2,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01799.jpg?v=1778109501,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC02473.jpg?v=1778109566,kg,,,
